AnalyserNode.prototype.getByteFrequencyData^68,method
HTMLMediaElement.prototype.mozGetMetadata,39,method
HTMLMediaElement.prototype.pause,39,method
HTMLMediaElement.prototype.play,39,method
HTMLMediaElement.prototype.setMediaKeys,39,promise
HTMLObjectElement.prototype.checkValidity,39,method
HTMLObjectElement.prototype.getSVGDocument,55,method
HTMLObjectElement.prototype.setCustomValidity,39,method
HTMLOptionsCollection.prototype.add,39,method
HTMLOptionsCollection.prototype.remove,39,method
HTMLOutputElement.prototype.checkValidity,39,method
HTMLOutputElement.prototype.setCustomValidity,39,method
HTMLPropertiesCollection.prototype.item,76,method
HTMLPropertiesCollection.prototype.namedItem,76,method
HTMLSelectElement.prototype.add,10,method
HTMLSelectElement.prototype.checkValidity,39,method
HTMLSelectElement.prototype.item,10,method
HTMLSelectElement.prototype.namedItem,10,method
HTMLSelectElement.prototype.remove,10,method
HTMLSelectElement.prototype.setCustomValidity,39,method
HTMLTableElement.prototype.createCaption,10,method
HTMLTableElement.prototype.createTBody,10,method
HTMLTableElement.prototype.createTFoot,10,method
HTMLTableElement.prototype.createTHead,10,method
HTMLTableElement.prototype.deleteCaption,10,method
HTMLTableElement.prototype.deleteRow,10,method
HTMLTableElement.prototype.deleteTFoot,10,method
HTMLTableElement.prototype.deleteTHead,10,method
HTMLTableElement.prototype.insertRow,10,method
HTMLTableRowElement.prototype.deleteCell,10,method
HTMLTableRowElement.prototype.insertCell,10,method
HTMLTableSectionElement.prototype.deleteRow,10,method
HTMLTableSectionElement.prototype.insertRow,10,method
HTMLTextAreaElement.prototype.checkValidity,39,method
HTMLTextAreaElement.prototype.select,10,method
HTMLTextAreaElement.prototype.setCustomValidity,39,method
HTMLTextAreaElement.prototype.setRangeText,39,method
HTMLTextAreaElement.prototype.setSelectionRange,39,method
HTMLVideoElement.prototype.getVideoPlaybackQuality,45,method
IDBCursor.prototype.advance,42,method
IDBCursor.prototype.continue,42,method
IDBCursor.prototype.delete,42,method
IDBCursor.prototype.update,42,method
IDBDatabase.prototype.close,42,method
IDBDatabase.prototype.createMutableFile,42,method
IDBDatabase.prototype.createObjectStore,42,method
IDBDatabase.prototype.deleteObjectStore,42,method
IDBDatabase.prototype.mozCreateFileHandle,42,method
IDBDatabase.prototype.transaction,42,method
IDBFactory.prototype.cmp,42,method
window.captureEvents,76,method
IDBFactory.prototype.deleteDatabase,42,method
IDBFactory.prototype.open,42,method
IDBFileHandle.prototype.abort,42,method
IDBFileHandle.prototype.append,42,method
IDBFileHandle.prototype.flush,42,method
IDBFileHandle.prototype.getMetadata,42,method
IDBFileHandle.prototype.readAsArrayBuffer,42,method
IDBFileHandle.prototype.readAsText,42,method
IDBFileHandle.prototype.truncate,42,method
IDBFileHandle.prototype.write,42,method
IDBIndex.prototype.count,42,method
IDBIndex.prototype.get,42,method
IDBIndex.prototype.getKey,42,method
IDBIndex.prototype.mozGetAll,42,method
IDBIndex.prototype.mozGetAllKeys,42,method
IDBIndex.prototype.openCursor,42,method
IDBIndex.prototype.openKeyCursor,42,method
IDBKeyRange.bound,42,method
IDBKeyRange.lowerBound,42,method
IDBKeyRange.only,42,method
IDBKeyRange.upperBound,42,method
IDBMutableFile.prototype.getFile,42,method
IDBMutableFile.prototype.open,42,method
IDBObjectStore.prototype.add,42,method
